War Thunder,"Win, Mac, Linux, VR Supported",150063,80,Very Positive,"Aug 15, 2013",Free to Play,,0,Free to Play,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_240_150_1,"Free to Play, World War II, Simulation, Multiplayer, War, Tanks, Flight, Military, Massively Multiplayer, Action, Realistic, Historical, Shooter, Team-Based, Strategy, Co-op, Arcade, FPS, Open World, TrackIR"
Jurassic World Evolution,Win,23478,79,Mostly Positive,"Jun 11, 2018",44.99,-75,11.24,Building,https://store.steampowered.com/app/648350/Jurassic_World_Evolution/?snr=1_7_7_240_150_1,"Building, Dinosaurs, Simulation, Management, Strategy, Sandbox, Singleplayer, City Builder, Sci-fi, Economy, Resource Management, Open World, Violent, Atmospheric, Action, Great Soundtrack, Survival, Multiplayer, Casual, Adventure"
The Jackbox Party Pack 3,"Win, Mac, Linux",1578,96,Overwhelmingly Positive,"Oct 17, 2016",24.99,,0,Trivia,https://store.steampowered.com/app/434170/The_Jackbox_Party_Pack_3/?snr=1_7_7_240_150_1,"Trivia, Local Multiplayer, Casual, Funny, Board Game, Multiplayer, Indie, Strategy, Comedy, Family Friendly, Co-op"
RimWorld,"Win, Mac, Linux",58000,98,Overwhelmingly Positive,"Oct 17, 2018",34.99,,0,Colony Sim,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, Open World, Sci-fi, Crafting, Moddable, 2D, Indie, Great Soundtrack, Atmospheric, Space, Action, Early Access"
Divinity: Original Sin 2 - Definitive Edition,"Win, Mac",71685,95,Overwhelmingly Positive,"Sep 14, 2017",44.99,,0,RPG,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_240_150_1,"RPG, Story Rich, Turn-Based, Co-op, Fantasy, Character Customization, Adventure, Open World, Strategy, Turn-Based Combat, Multiplayer, Singleplayer, CRPG, Turn-Based Tactics, Great Soundtrack, Party-Based RPG, Atmospheric, Isometric, Indie, Female Protagonist"
SMITE®,Win,61987,80,Very Positive,"Sep 8, 2015",Free to Play,,0,Free to Play,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer, Action, Third Person, Mythology, Team-Based, Competitive, Strategy, PvP, Co-op, Massively Multiplayer, eSports, RPG, MMORPG, Adventure, Funny, Survival, Casual, Nudity"
Dota 2,"Win, Mac, Linux, VR Supported",1265126,85,Very Positive,"Jul 9, 2013",Free to Play,,0,Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, Fantasy, RPG, Character Customization, Replay Value, Action RPG, Simulation"
Total War: WARHAMMER II,"Win, Mac, Linux",38449,92,Very Positive,"Sep 28, 2017",59.99,,0,Strategy,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"Strategy, Fantasy, Turn-Based Strategy, RTS, Grand Strategy, War, Multiplayer, Games Workshop, Action, Turn-Based, Singleplayer, Dark Fantasy, Tactical, Co-op, Real Time Tactics, Story Rich, Atmospheric, Dinosaurs, Warhammer 40K, Great Soundtrack"
Total War: THREE KINGDOMS,"Win, Mac, Linux",35305,84,Very Positive,"May 23, 2019",59.99,,0,Strategy,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"Strategy, Historical, War, Turn-Based Strategy, Grand Strategy, RTS, Military, Tactical, Multiplayer, Singleplayer, Real Time Tactics, Action, Great Soundtrack, Turn-Based, Co-op, Simulation, Violent, Sandbox, Fantasy, Destruction"
Hearts of Iron IV,"Win, Mac, Linux",61160,91,Very Positive,"Jun 6, 2016",39.99,,0,Strategy,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"Strategy, World War II, Grand Strategy, Historical, War, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Great Soundtrack, Open World, Action, Casual"
